0,1,2
20170822,8,관람객시작은 재미있었어요 신나고 유쾌하고 학습적인 내용도 있었고 근데 확실히 여자아이들은 금방 지루함을 느끼네요 주변 남자아이들은 눈에서 빛이나면서 관람하던데 엄마와 두 딸래미는 조금은 지루하게 봤습니다.  
20170822,10,관람객도라에몽 처음봤는데 더빙말투도 재밌게 아이들 상상력을 풍부하게해주고 상식을 넓힐숟ㅎ있는 좋은 영화같았어요.  괜찮은 영화잘봤습니다.  
20170822,10,"관람객감동과 교훈적인 만화 영화, 가족 영화로 강추  "
20170822,9,관람객애들이 너무  좋아해요... 도라에몽 사 달래요...ㅋㅋ  
20170822,10,관람객최고아들이 재밌게 봤네요  
20170822,10,관람객정말 재밌게 봤습니다^^^^  
20170822,6,아이가 정말 재밌게봤어요  
20170822,8,관람객아이들이 재미있게봤고 다시보고싶다함  
20170822,7,관람객초등학생은 되어야 이해할듯...  
20170822,8,관람객애들이 재밌고 좋아해요  
20170822,10,관람객애들이 재미있다고 하네요  
20170822,9,"관람객기대가 너무 커서 그랬던건지, 최고는 아니었지만  아이와 재밌게 봤습니다.~~  "
20170821,10,재밌고 귀엽고 극장판이 점점 더 완성도가 높아지는 느낌이에요 허허  
20170821,10,관람객재밌어요^^~~~^  
20170821,9,관람객딸아이랑 친구랑 가서 봤는데딸이 재미있었데요도중 좀..말이 안되는 ㅋ  
20170821,10,관람객조카들이랑 보러갔는데 재밌어했어요~  
20170821,9,관람객짱잼꿀잼 애기들이 좋아할영화  
20170821,10,송경원만 진정한 평론가  
20170821,7,관람객아이들이 좋아해요^^  
20170821,10,관람객도라에몽은 언제나 맞다.  
20170821,8,관람객재미없어요! 딸래미 보여줄려구 같이갔는데 자다왔어요ㅎㅎㅎ  
20170821,10,관람객꼬맹이 처제들이 재미있게 봤다고 난리입니다.  
20170820,10,관람객아이들이 너무 재미있어하며 봤네요  
20170820,7,관람객ㅇㅓ린이를 위한 만화영화~도라에몽같은 친구가 있으면 얼마나 좋을까~ 생각드는건 예나 지금이나 같네요 ㅋ조카가 매우 좋아했습니다 ㅋ  
20170820,10,관람객아이들이 재미있곷감동적이었다고 하네요  
20170820,10,관람객아이들이 너무 좋아해요  
20170820,9,관람객아이들이 즐겁게 봤습니다~^^  
20170820,8,관람객역쉬 방학땐 도라에몽과 함께지요  
20170820,5,관람객애기랑 같이 보기 딱 좋아요 ㅋㅋㅋㅋ 애기가 넘 신나고 재미있게 봤네요~~~추천~~  
