Unnamed: 0.1,Unnamed: 0.1.1,movieCd,movieNm,director,naverCd,naver_movieCd,ntz_see_score,spc_score,ntz_score
41,41,20174142,아이 캔 스피크,김현석,0,161850.0,9.23,7.25,9.36
42,42,20175208,뷰티풀 투모로우,장재혁,0,169561.0,0.0,0.0,9.29
43,43,20172603,부라더,장유정,0,160749.0,7.83,5.8,7.27
44,44,20169643,침묵,정지우,0,153642.0,8.25,6.09,7.78
45,45,20173724,직쏘,피터 스피어이그,0,152268.0,0.0,4.0,7.27
46,46,20173806,노 게임 노 라이프 -제로-,이시즈카 아츠코,0,164968.0,8.0,0.0,7.14
47,47,20173612,메소드,방은진,0,165669.0,8.08,4.83,8.23
48,48,20177342,내게 남은 사랑을,진광교,0,164108.0,8.67,5.0,8.17
49,49,20174902,신서유기 : 몽키킹의 부활,텐 샤오펑,0,143250.0,8.6,0.0,7.29
50,50,20171817,넛잡 2,캘런 브런커,0,121052.0,8.63,5.0,8.78
51,51,20161681,미옥,이안규,0,142317.0,6.99,4.33,4.99
52,52,20173804,배드 지니어스,나타우트 푼프리야,0,163386.0,8.76,6.4,8.6
53,53,20173931,리빙보이 인 뉴욕,마크 웹,0,99093.0,8.19,5.17,7.48
54,54,20175244,극장판 파워레인저: 애니멀포스 VS 닌자포스 미래에서 온 메시지 ,타케모토 노보루,0,158576.0,8.76,0.0,8.66
55,55,20168754,7호실,이용승,0,155715.0,7.12,6.43,6.56
56,56,20175611,페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워,스도 토모노리,0,169262.0,9.18,0.0,7.01
57,57,20174222,키드냅,루이스 프리에토,0,164986.0,10.0,5.5,6.93
58,58,20173903,역모-반란의 시대,김홍선,0,142210.0,6.67,3.33,3.85
59,59,20174778,하이큐!! 재능과 센스,미츠나카 스스무,0,169348.0,9.56,0.0,9.2
60,60,20175288,피터와 모글리의 크리스마스 어드벤처,타파스 차크라바르티,0,169850.0,7.4,0.0,7.08
61,61,20175222,킹스맨: 골든 서클,매튜 본,0,149747.0,8.61,5.0,8.39
62,62,20172142,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,우시로 신지,0,156200.0,8.59,5.0,8.32
63,63,20170364,레고 닌자고 무비,찰리 빈,0,125439.0,8.7,4.0,8.43
64,64,20154909,살인자의 기억법,원신연,0,137890.0,8.17,5.78,7.69
65,65,20171962,킬러의 보디가드,패트릭 휴즈,0,152625.0,9.1,5.6,8.39
66,66,20171090,베이비 드라이버,에드가 라이트,0,143402.0,8.41,7.67,8.02
67,67,20172627,리틀 프린세스 소피아 : 신비한 섬,제이미 미첼,0,165514.0,8.64,0.0,8.5
68,68,20173945,인비저블 게스트,오리올 파울로,0,159516.0,8.84,6.5,8.94
69,69,20166132,김광석,이상호,0,151674.0,8.9,6.0,8.74
70,70,20170964,딥,줄리오 소토 거피드,0,163663.0,7.99,0.0,8.09
72,72,20168282,블레이드 러너 2049,드니 빌뇌브,0,88227.0,8.21,8.22,7.97
73,73,20154907,희생부활자,곽경택,0,140696.0,6.62,5.17,6.09
74,74,20171312,우리의 20세기,마이크 밀스,0,143390.0,8.42,6.75,8.25
75,75,20173092,어메이징 메리,마크 웹,0,143469.0,9.09,0.0,9.19
76,76,20169463,다시 태어나도 우리,전진,0,154573.0,9.26,6.5,9.35
77,77,20172942,나의 엔젤,해리 클레븐,0,162200.0,8.08,7.0,8.2
78,78,20175943,주키퍼스 와이프,니키 카로,0,143489.0,8.58,6.0,8.37
79,79,20158047,발레리안: 천 개 행성의 도시,뤽 베송,0,137970.0,8.11,5.56,7.8
80,80,20172064,마더!,대런 아로노프스키,0,152650.0,7.19,7.25,6.0
81,81,20176761,잠깐만 회사 좀 관두고 올게,나루시마 이즈루,0,159741.0,8.21,6.0,8.11
82,82,20164481,유리정원,신수원,0,149517.0,8.18,6.0,6.93
83,83,20174103,배저로와 친구들: 신비한 모험,룬 스파안스,0,162113.0,6.91,0.0,7.1
84,84,20162442,청년경찰,김주환,0,153652.0,9.03,5.1,8.33
85,85,20162869,택시운전사,장훈,0,146469.0,9.28,6.09,9.05
86,86,20164174,브이아이피,박훈정,0,152170.0,6.87,5.0,6.51
87,87,20179491,아토믹 블론드,데이빗 레이치,0,144215.0,8.05,6.43,7.89
88,88,20151003,장산범,허정,0,137696.0,7.42,5.8,6.16
89,89,20179407,로마의 휴일,이덕희,0,155680.0,7.68,3.0,6.8
